Claim_ID,Section,Claim,Evidence_Status,Controlling_Source,Key_Limitation
CH8-AM-001,2016 active measures,"Russia conducted a multi-pronged influence operation including hacking, controlled publication and social-media activity","Established","2017 ICA; Senate Volumes I-V; DOJ indictments","No official assessment of electoral outcome"
CH8-MK-001,Manafort-Kilimnik,"Sensitive Trump campaign polling and strategy reached Russian intelligence through Kilimnik","Established","Treasury 2021","Downstream operational use not publicly detailed"
CH8-MK-002,Manafort-Kilimnik,"Senate investigators obtained information suggesting Kilimnik may have been connected to the GRU hack-and-leak operation","Officially reported but underlying material substantially redacted","Senate Volume 5","Exact connection and reliability cannot be fully evaluated publicly"
CH8-MK-003,Manafort-Kilimnik,"A named campaign file directly selected a named IRA audience or GRU/WikiLeaks release","Unresolved","Senate Volume 5; Chapter 5 matrices","No public file-to-operation routing record"
CH8-COMEY-001,Institutional exploitation,"Concern that classified information mentioning Lynch could leak contributed to Comey's unilateral-statement decision process","Established","DOJ OIG 2018","Public report protects classified details"
CH8-COMEY-002,Institutional exploitation,"The underlying Lynch material was described by officials as a Russian intelligence product that was unreliable and possibly fabricated","Strong documentary reporting","Washington Post 2017","Underlying classified product remains unavailable"
CH8-COMEY-003,Institutional exploitation,"Russia intentionally created the Lynch material specifically to cause Comey's July statement","Unresolved","No public direct evidence","Could have been disinformation, poor intelligence, or another contaminated product"
CH8-JUNE9-001,Receptivity,"Trump campaign principals accepted a meeting offered as Russian governmental assistance against Clinton","Established","Mueller/Senate/email record","No reliable evidence useful information was delivered at meeting"
CH8-KOMP-001,Kompromat,"Senate Volume 5 treated Russian collection of compromising information on Trump as a legitimate counterintelligence issue","Established","Senate Volume 5","Committee did not establish Russia possessed controlling kompromat"
CH8-KOMP-002,Kompromat,"Specific witness claims about Trump's Moscow private conduct prove Russian blackmail","Not established","Senate Volume 5","Witness accounts are incomplete, disputed, and in parts redacted"
CH8-AMP-001,Domestic amplification,"Documented FBI/FISA errors coexisted with an independently established Russian influence operation","Established as two separate facts","DOJ OIG; Senate Volumes IV-V","Neither fact should be used to erase the other"
CH8-SYN-001,Synthesis,"Russian active measures repeatedly gained value through American institutional reaction and domestic amplification even without a proved centralized command chain","Analytical synthesis","Multiple official records","Effect and intent must be evaluated event by event"
